modifier,pollutant,level,HR,HR_lci,HR_uci
Sex,PM[2.5],Male,1.08892401715694,1.08744768961862,1.09040234896914
Sex,PM[2.5],Female,0.993139003104265,0.992037424085809,0.994241805339008
Sex,NO[2],Male,1.11781311549834,1.11617682892332,1.11945180082747
Sex,NO[2],Female,0.989958502154999,0.988746763196598,0.991171726136015
Sex,"Summer
ozone",Male,1.02285853377618,1.02170906599513,1.02400929475919
Sex,"Summer
ozone",Female,0.995378299141456,0.994463975418513,0.996293463506081
Sex,Ox,Male,1.05724740160882,1.05593377157306,1.05856266586058
Sex,Ox,Female,0.99634529328394,0.995344138027953,0.997347455540228
"Dual 
 elegibility",PM[2.5],TRUE,1.08121555690912,1.08000557984737,1.08242688956063
"Dual 
 elegibility",PM[2.5],FALSE,1.00734550962715,1.00597614229583,1.00871674098567
"Dual 
 elegibility",NO[2],TRUE,1.11916596582434,1.11781869805775,1.12051485740564
"Dual 
 elegibility",NO[2],FALSE,0.975192018217135,0.973709533197305,0.976676760339067
"Dual 
 elegibility","Summer
ozone",TRUE,1.02323654137935,1.0222871913523,1.02418677302312
"Dual 
 elegibility","Summer
ozone",FALSE,0.990902715529293,0.989800716039241,0.992005941935891
"Dual 
 elegibility",Ox,TRUE,1.06190019519839,1.06083361496018,1.06296784779459
"Dual 
 elegibility",Ox,FALSE,0.980606503684757,0.979372215706163,0.981842347217806
"Above median 
 population 
 density",PM[2.5],FALSE,1.07279075606109,1.07143431087834,1.07414891851527
"Above median 
 population 
 density",PM[2.5],TRUE,1.0065886984211,1.00537390270691,1.00780496197588
"Above median 
 population 
 density",NO[2],FALSE,1.08827528130848,1.08619588248171,1.09035866090848
"Above median 
 population 
 density",NO[2],TRUE,1.02089818825601,1.01946759880999,1.0223307852069
"Above median 
 population 
 density","Summer
ozone",FALSE,1.03055795873404,1.02946020281228,1.03165688523826
"Above median 
 population 
 density","Summer
ozone",TRUE,0.983579987484593,0.982630864794045,0.984530026932301
"Above median 
 population 
 density",Ox,FALSE,1.05171867280517,1.05039220619136,1.0530468145206
"Above median 
 population 
 density",Ox,TRUE,0.989379113272487,0.988303022358967,0.990456375862738
"Entry age 
 over 85",PM[2.5],FALSE,1.08299792414418,1.08181588095283,1.08418125889183
"Entry age 
 over 85",PM[2.5],TRUE,1.0029594184814,1.00154716977199,1.00437365855625
"Entry age 
 over 85",NO[2],FALSE,1.10524563225947,1.10390585655493,1.10658703400751
"Entry age 
 over 85",NO[2],TRUE,1.01398954409092,1.01246553168141,1.01551585051811
"Entry age 
 over 85","Summer
ozone",FALSE,1.022409762292,1.02148602303179,1.02333433689817
"Entry age 
 over 85","Summer
ozone",TRUE,0.992281815370363,0.991120102663023,0.993444889745589
"Entry age 
 over 85",Ox,FALSE,1.0519327588432,1.0508892586418,1.0529772952077
"Entry age 
 over 85",Ox,TRUE,1.00793744678892,1.00664007434426,1.00923649130614
Race,PM[2.5],Black,1.08462168789866,1.0821310217585,1.08711808663284
Race,PM[2.5],Hispanic,1.01504512450709,1.01446128457525,1.01609559263983
Race,PM[2.5],Others,0.970668949549269,0.966574061654283,0.974781185423617
Race,PM[2.5],White,0.999999281602625,0.998965454287855,1.00103417882318
Race,NO[2],Black,1.13366311715714,1.13123942509185,1.13609200200753
Race,NO[2],Hispanic,0.965187722020018,0.964179884100955,0.966295958828741
Race,NO[2],Others,0.920222890520891,0.9161201965035,0.924343957780424
Race,NO[2],White,0.979507751968353,0.978384362663821,0.980632431158106
Race,"Summer
ozone",Black,1.01599440983698,1.01407759145613,1.01791485140478
Race,"Summer
ozone",Hispanic,1.00555707409074,1.00491804534725,1.00642395850764
Race,"Summer
ozone",Others,1.032853822342,1.02944104985523,1.03627790875107
Race,"Summer
ozone",White,1.00308433111971,1.00222032329464,1.00394908380048
Race,Ox,Black,1.05860307950286,1.05636555113868,1.06084534726164
Race,Ox,Hispanic,0.985407458190419,0.984731247188776,0.986330699817272
Race,Ox,Others,0.985610472310664,0.981953112914714,0.989281453821128
Race,Ox,White,0.996694419186865,0.995761476739453,0.997628235720723
